"","x"
"V783",1.60334188043875e-08
"V784",1.60672307754324e-08
"V785",1.60881584995348e-08
"V786",1.61031244968778e-08
"V787",1.61106957546491e-08
"V788",1.60936869317085e-08
"V789",1.60773446212463e-08
"V790",1.60698383762501e-08
"V791",1.60665957485985e-08
"V792",1.60878239534836e-08
"V793",1.6092772657625e-08
"V794",1.60822068764597e-08
"V795",1.60487939833835e-08
"V796",1.60290086455262e-08
"V797",1.60724131367211e-08
"V798",1.61123596749425e-08
"V799",1.61230880613275e-08
"V800",1.61567561897977e-08
"V801",1.61304548642091e-08
"V802",1.61022076788439e-08
"V803",1.61427912252432e-08
"V804",1.61842560762515e-08
"V805",1.62262815188724e-08
"V806",1.62084766377866e-08
"V807",1.61766277334769e-08
"V808",1.61735403390519e-08
"V809",1.61524431002327e-08
"V810",1.61977604287563e-08
"V811",1.61993286913836e-08
"V812",1.62225973025739e-08
"V813",1.61778534188079e-08
"V814",1.61713216291121e-08
"V815",1.61864996606708e-08
"V816",1.62358072606955e-08
"V817",1.63320672603293e-08
"V818",1.63681423263027e-08
"V819",1.62935870391937e-08
"V820",1.62438988142076e-08
"V821",1.62575215617578e-08
"V822",1.63135686695218e-08
"V823",1.63269868374802e-08
"V824",1.63357893267985e-08
"V825",1.63470517949014e-08
"V826",1.63240721300777e-08
"V827",1.63098606270354e-08
"V828",1.63464135498575e-08
"V829",1.63483419535372e-08
"V830",1.63610302412978e-08
"V831",1.63600791902852e-08
"V832",1.6351357863033e-08
"V833",1.63470318157943e-08
"V834",1.63890216463127e-08
"V835",1.64637551032437e-08
"V836",1.6445220394817e-08
"V837",1.64077601899327e-08
"V838",1.64152307218227e-08
"V839",1.64146515374886e-08
"V840",1.64477681056521e-08
"V841",1.64794619963865e-08
"V842",1.64953116010901e-08
"V843",1.65059500831114e-08
"V844",1.65242061745869e-08
"V845",1.65312224378598e-08
"V846",1.65337580997018e-08
"V847",1.6542057014349e-08
"V848",1.65901234249441e-08
"V849",1.65889880651556e-08
"V850",1.66054665756169e-08
"V851",1.66012800452875e-08
"V852",1.65998645868014e-08
"V853",1.66317139200865e-08
"V854",1.66251101208874e-08
"V855",1.65938697862613e-08
"V856",1.66250019570803e-08
"V857",1.66437131418076e-08
"V858",1.66543985082137e-08
"V859",1.66110928214855e-08
"V860",1.65953346268489e-08
"V861",1.66101064042068e-08
"V862",1.66255671464137e-08
"V863",1.66328649807994e-08
"V864",1.66276895147119e-08
"V865",1.66000976681052e-08
"V866",1.66364307611469e-08
"V867",1.66274055158488e-08
"V868",1.66743639691886e-08
"V869",1.66872199535255e-08
"V870",1.6683288704428e-08
"V871",1.66930256834153e-08
"V872",1.66964697632956e-08
"V873",1.67308296346664e-08
"V874",1.68041191558837e-08
"V875",1.67991547209321e-08
"V876",1.67536329869335e-08
"V877",1.67525738554111e-08
"V878",1.67575811338548e-08
"V879",1.67704384344243e-08
"V880",1.6797216903187e-08
"V881",1.68295173272922e-08
"V882",1.68224212384046e-08
"V883",1.6759845347214e-08
"V884",1.67612520768841e-08
"V885",1.67611754993499e-08
"V886",1.67778396559843e-08
"V887",1.67962520641617e-08
"V888",1.68128567844181e-08
"V889",1.68084323977681e-08
"V890",1.68171844200182e-08
"V891",1.68207561366696e-08
"V892",1.68321935261234e-08
"V893",1.68789792633498e-08
"V894",1.68823969273647e-08
"V895",1.6919724893884e-08
"V896",1.68905116374617e-08
"V897",1.68729078233686e-08
"V898",1.68968703051956e-08
"V899",1.69088578908307e-08
"V900",1.68988925921537e-08
"V901",1.68791848762182e-08
"V902",1.68970836812055e-08
"V903",1.69372580295253e-08
"V904",1.6927198889157e-08
"V905",1.69275472891415e-08
"V906",1.69356148362455e-08
"V907",1.69626743033371e-08
"V908",1.69868350823846e-08
"V909",1.69982698432716e-08
"V910",1.69675505176093e-08
"V911",1.69495108875297e-08
"V912",1.6958781073515e-08
"V913",1.69851573185087e-08
"V914",1.69889308062842e-08
"V915",1.70050484071535e-08
"V916",1.69771514712524e-08
"V917",1.69792475529643e-08
"V918",1.69767617182073e-08
"V919",1.69634968350405e-08
"V920",1.69696999017031e-08
"V921",1.6987046368602e-08
"V922",1.69744256987088e-08
"V923",1.69879683895802e-08
"V924",1.69852145333946e-08
"V925",1.70010245251918e-08
"V926",1.70585092038357e-08
"V927",1.71213843412308e-08
"V928",1.70832359057609e-08
"V929",1.70355852740402e-08
"V930",1.70502502838128e-08
"V931",1.70876286040451e-08
